,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
06-10,,,30.09,50.85,70.14,90.57,,,490.57,300.03,560.35,720.67,,730.27,730.33,480.31,930.75,,,2200.1,1950.85,2930.8,1140.1
06-11,,0.6,30.27,60.01,60.96,,,700.52,490.79,280.97,550.31,,560.74,700.5,730.69,480.2,,,1880.0,2060.71,1910.4,2920.03,1130.74
06-12,0.63,0.6,30.27,60.01,,,320.56,700.52,490.79,280.97,,,560.74,700.5,730.69,480.2,,1220.25,,,,,1130.8
06-13,0.6,0.6,30.2,60.01,,90.57,290.84,710.1,490.79,,,720.67,560.68,680.97,730.69,,930.75,1160.55,1900.14,2080.45,,,1120.07
06-14,0.59,0.59,30.14,,60.96,90.55,310.03,730.2,,,550.31,720.94,570.83,700.22,,,880.75,1140.3,1890.26,2070.47,,2930.24,1140.49
06-15,0.59,0.6,,,60.8,90.56,320.09,730.35,,260.71,560.85,710.93,590.44,,,490.05,900.44,1110.02,1870.45,,1910.0,2910.91,1160.51
06-16,0.57,,,60.22,60.82,90.62,310.57,,500.03,280.5,560.23,710.83,,,690.45,500.85,880.0,1110.99,,,1930.2,2920.38,1170.39
06-17,,,30.14,60.17,70.18,90.86,,,510.09,260.86,560.85,730.51,,710.9,670.34,490.61,890.54,,,2060.6,1910.29,2910.67,1180.4
06-18,,0.61,30.05,60.04,70.09,,,730.17,500.43,270.1,570.62,,610.43,720.57,670.59,490.84,,,1850.0,2070.9,1890.8,2860.25,1170.84
06-19,0.55,0.61,20.93,60.0,,,320.3,740.18,500.02,260.27,,,620.38,710.6,670.67,490.12,,1140.11,1830.5,2070.08,1910.09,,1190.39
