,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
05-11,,,,,,,,209.11,,181.7,217.61,233.07,203.07,,,259.45,324.6,312.35,402.2,,,532.0,391.55
05-12,,,,,,,,,258.6,186.7,229.0,231.4,,,229.5,258.35,319.0,307.5,,,351.1,548.6,375.0
05-13,,,,,,,,,263.45,178.86,226.63,230.26,,223.05,229.5,252.45,322.65,,,417.2,348.0,548.35,374.95
05-14,,,,,,,,209.5,278.76,174.93,220.89,,199.56,223.38,229.99,255.7,,,401.0,420.95,347.15,545.0,
05-15,,,,,,,,205.98,273.2,174.04,,,200.41,220.94,227.0,257.45,,314.15,395.25,413.7,350.05,,
05-16,,,,,,,,210.52,279.63,,,230.57,203.09,218.15,227.24,,322.6,312.9,395.4,412.0,,,378.8
05-17,,,,,,,,207.18,,,220.23,228.59,200.53,219.49,,,322.1,311.55,385.7,413.0,,542.0,394.7
05-18,,,,,,,,209.67,,177.33,226.51,227.53,197.72,,,256.1,329.5,305.0,384.1,,375.05,541.05,404.0
05-19,,,,,,,,,269.72,181.07,215.78,229.82,,,228.1,252.25,330.0,306.1,,,376.5,528.6,399.6
05-20,,,,,,,,,265.84,191.11,206.58,227.08,,219.17,229.8,245.9,324.65,,,408.2,380.25,517.75,384.25
05-21,,,,,,,,210.62,268.29,180.84,208.11,,194.99,220.54,230.56,245.65,,,390.05,415.95,367.0,526.85,
05-22,,,,,,,,211.16,263.49,184.44,,,198.34,224.17,230.01,249.9,,307.3,385.2,414.0,364.5,,
05-23,,,,,,,,207.72,269.9,,,221.96,193.06,213.73,232.9,,313.1,312.4,376.9,417.05,,,367.05
05-24,,,,,,,,207.41,,,208.52,228.06,197.32,211.99,,,317.0,307.0,375.4,423.0,,523.35,359.2
05-25,,,,,,,,208.03,,185.06,196.11,231.67,193.52,,,244.6,318.0,306.4,376.25,,373.95,524.75,378.0
05-26,,,,,,,,,275.24,183.99,213.18,231.49,,,233.74,245.15,320.15,304.0,,,374.4,525.35,391.7
05-27,,,,,,,,,272.98,190.72,222.1,240.93,,211.5,229.0,247.5,320.6,,,425.4,374.9,522.95,401.5
05-28,,,,,,,,204.35,275.41,197.0,225.55,,192.52,213.92,229.13,245.8,,,374.75,431.8,377.45,522.9,
05-29,,,,,,,,200.35,280.95,206.57,,,200.46,212.53,229.81,234.0,,307.25,380.9,437.0,376.2,,
05-30,,,,,,,,199.56,286.43,,,241.68,203.13,215.71,226.0,,322.0,305.0,380.75,439.0,,,385.1
05-31,,,,,,,,205.83,,,228.57,242.22,207.47,210.76,,,316.0,301.55,384.7,433.0,,530.05,377.0
06-01,,,,,,,,211.84,,219.34,225.27,239.59,205.96,,,236.0,313.0,301.45,386.35,,378.7,542.55,375.95
06-02,,,,,,,,,288.24,219.78,226.94,239.45,,,230.0,237.5,311.35,301.0,,,387.0,551.5,368.75
06-03,,,,,,,,,284.69,201.76,224.99,235.34,,210.38,231.3,233.1,314.75,,,438.9,396.95,560.35,365.45
06-04,,,,,,,,208.16,272.31,200.16,222.52,,203.45,211.0,230.25,236.25,,,383.35,435.0,390.05,557.55,373.3
06-05,,,,,,,,207.57,273.85,202.3,,,196.3,208.78,229.5,236.75,,305.0,380.25,426.2,401.95,,369.7
06-06,,,,,,,,205.65,281.45,,,237.64,199.26,208.67,237.0,,323.85,302.55,379.3,422.9,,,368.8
06-07,,,,,,,,203.74,,,222.25,243.54,199.65,214.88,,,328.85,308.0,381.35,419.55,,551.0,366.55
06-08,,,,,,,,203.16,,197.61,213.91,247.09,197.42,,,239.6,342.5,307.5,381.0,,400.15,547.2,372.85
