,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
05-10,400.34,300.83,600.69,,1200.19,1500.3,3600.49,1900.49,,,1400.42,1600.15,1800.03,2100.88,,,4000.03,3100.4,3100.295,3900.15,,4400.22,
05-11,400.29,300.77,,,1200.22,1400.99,3500.83,1800.48,,1000.88,1400.94,1600.1,1800.38,,,4000.9,4100.05,3100.19,3100.41,,,4500.0,3200.13
05-12,400.23,,,700.47,1200.5,1400.6,3500.29,,1200.42,1100.39,1500.41,1500.82,,,2500.08,3700.48,4200.4,3100.3,,,3500.725,4500.0,3100.0
05-13,,,600.79,700.46,1200.23,1400.49,,,1200.85,1000.92,1500.39,1500.59,,2100.77,2500.35,3800.11,4000.93,,,3900.005,3500.5,4400.94,3000.28
05-14,,300.73,700.06,700.55,1100.86,,,1800.77,1300.8,1100.36,1500.0,,1700.39,2100.75,2500.45,3800.01,,,3100.55,3800.88,3600.33,4400.79,
05-15,400.12,300.77,700.09,700.49,,,3100.69,1800.45,1300.52,1100.2,,,1500.25,1900.56,2500.29,3900.1,,3000.51,3200.4,3800.56,3500.95,,
05-16,400.3,300.74,700.08,700.49,,1400.29,3200.03,1800.89,1300.79,,,1400.21,1500.1,1900.48,2500.39,,4100.1,3000.0,3200.555,3800.37,,,3200.0
05-17,400.01,300.92,700.35,,1200.3,1400.59,3000.58,1800.81,,,1300.95,1300.98,1400.64,2000.25,,,4200.39,2900.68,3200.84,3900.5,,4400.98,3400.5
05-18,400.01,400.02,,,1200.16,1400.65,2900.31,1900.39,,1000.14,1300.82,1400.03,1400.65,,,3900.45,4200.75,2900.88,3200.575,,3600.5,4500.5,3300.3
05-19,300.68,,,700.6,1200.54,1400.45,2800.4,,1400.56,900.96,1300.0,1300.99,,,2500.74,3900.45,4200.25,2900.68,,,3600.55,4600.37,3400.99
05-20,,,700.56,700.54,1200.71,1400.49,,,1400.05,1000.11,1200.11,1300.72,,1900.76,2500.99,3800.5,4100.75,,,4000.515,3600.855,4500.985,3400.245
05-21,,400.19,700.59,700.36,1200.75,,,1900.91,1400.31,900.25,1200.0,,1400.86,1900.89,2600.24,3900.2,,,3200.815,4000.0,3600.015,4500.995,
05-22,300.56,400.05,700.52,700.45,,,2400.33,1900.77,1400.11,900.36,,,1400.93,1900.97,2600.32,3800.94,,2900.24,3200.385,4000.385,3500.605,,
05-23,300.02,400.12,700.64,700.38,,1400.49,2700.99,1900.01,1400.12,,,1300.32,1400.19,1900.5,2600.47,,4100.74,2900.73,3200.36,4000.46,,,3300.86
05-24,200.83,400.13,700.45,,1200.92,1400.86,2600.33,1800.97,,,1200.32,1300.43,1400.85,1900.77,,,4100.54,2900.12,3200.02,4000.56,,4600.455,3400.1
05-25,300.16,400.01,,,1200.51,1400.85,2700.97,1800.59,,900.4,1100.9,1300.45,1500.34,,,3800.99,4100.21,2900.52,3100.585,,3600.7,4600.94,3500.075
05-26,300.6,,,700.44,1200.53,1400.7,3000.13,,1400.06,900.27,1200.38,1300.43,,,2600.52,3900.16,4100.39,2900.67,,,3600.35,4600.475,3500.47
05-27,,,700.6,700.73,1200.56,1400.75,,,1300.65,900.29,1300.19,1300.77,,1900.57,2500.83,3900.56,4100.6,,,4000.535,3600.365,4600.2,3500.47
05-28,,400.0,700.22,700.9,1200.24,,,1800.1,1300.56,900.4,1300.25,,1500.72,1900.86,2500.98,3900.41,,,3100.665,4000.57,3600.4,4600.365,
05-29,300.5,400.0,700.29,700.8,,,2900.77,1700.33,1300.68,900.78,,,1500.96,1900.51,2600.26,3700.2,,3000.04,3100.375,4000.945,3500.41,,
05-30,300.65,400.18,700.3,700.75,,1400.68,2900.97,1700.12,1400.09,,,1300.79,1500.95,1900.73,2600.0,,4100.62,2900.7,3100.3,4000.7,,,3500.6
05-31,300.7,400.26,700.52,,1200.21,1400.69,2800.82,1700.57,,,1300.31,1400.06,1500.98,1900.46,,,4100.45,2800.23,3100.06,4000.465,,4600.6,3500.355
06-01,300.8,400.27,,,1100.8,1400.63,2800.71,1800.13,,1000.21,1200.86,1400.25,1500.97,,,3900.08,4100.4,2700.68,3100.12,,3500.415,4600.615,3500.59
06-02,300.9,,,700.64,1200.01,1400.91,3000.21,,1300.88,900.85,1200.88,1400.04,,,2600.31,3800.9,4000.51,2700.95,,,3500.64,4600.875,3600.05
06-03,,,700.62,700.75,1100.92,1400.96,,,1400.05,900.4,1200.86,1300.96,,1900.6,2600.56,3800.75,4100.01,,,4000.83,3400.9,4600.715,3500.915
