,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
05-13,,,,,,36.04,,,201.03,118.05,188.35,350.25,,311.08,366.25,501.4,618.4,,,1210.0,1002.6,1389.6,971.0
05-14,,,,,,,,130.21,202.92,113.58,187.16,,321.64,306.12,364.2,500.9,,,773.6,1190.0,1003.0,1373.4,
05-15,,,,,,,111.0,125.98,202.24,114.75,,,330.63,304.6,361.2,504.1,,684.0,770.4,1186.0,1008.2,,
05-16,,,,,,36.0,114.36,126.54,210.97,,,345.53,328.23,295.29,365.5,,626.4,678.1,773.5,1204.6,,,996.6
05-17,,,,,,36.0,106.0,126.35,,,191.0,339.05,316.34,304.89,,,632.3,685.2,771.4,1198.6,,1381.2,1009.0
05-18,,,,,,36.0,107.0,128.64,,118.1,194.02,348.83,314.59,,,502.0,639.2,677.7,771.8,,1060.0,1403.0,1002.0
05-19,,,,,,36.0,105.43,,213.09,122.3,193.07,356.92,,,371.8,495.5,642.6,684.4,,,1077.0,1387.6,1010.8
05-20,,,,,,36.0,,,202.54,128.36,184.94,355.31,,305.46,376.11,494.7,654.5,,,1220.2,1140.0,1377.2,990.8
05-21,,,,,,,,129.18,199.18,122.46,182.43,,315.88,312.37,389.0,508.6,,,779.7,1245.0,1093.0,1408.8,
05-22,,,,,,,91.44,128.03,195.22,123.69,,,316.34,328.18,387.71,512.4,,680.0,769.5,1297.0,1078.4,,
05-23,,,,,,36.0,97.49,124.57,203.71,,,352.76,295.09,321.86,386.5,,648.7,681.0,761.1,1302.0,,,962.8
05-24,,,,,,36.0,99.4,123.16,,,187.69,350.07,300.1,324.64,,,651.3,687.0,755.4,1291.4,,1402.0,943.0
05-25,,,,,,36.0,100.5,124.08,,122.81,175.44,346.85,302.38,,,506.8,657.3,680.1,791.7,,1096.0,1410.0,942.0
05-26,,,,,,36.8,106.0,,202.17,121.47,186.38,342.19,,,388.54,515.7,652.0,658.2,,,1093.0,1417.0,977.4
05-27,,,,,,36.8,,,200.6,128.32,195.94,350.07,,323.65,372.99,524.4,659.9,,,1317.2,1068.0,1454.2,960.2
05-28,,,,,,,,125.5,201.06,134.48,198.55,,301.55,329.59,378.09,528.5,,,803.0,1306.0,1084.0,1454.0,
05-29,,,,,,,105.0,119.75,204.89,142.59,,,298.15,319.8,381.57,522.5,,650.0,829.3,1307.4,1029.6,,
05-30,,,,,,36.8,107.21,119.87,211.24,,,354.48,288.91,324.39,370.0,,671.8,650.6,823.0,1308.0,,,944.6
05-31,,,,,,36.8,107.65,125.22,,,199.98,364.7,290.91,320.15,,,659.4,641.0,839.4,1323.0,,1448.2,910.0
06-01,,,,,,37.28,107.79,129.44,,151.61,197.96,361.59,290.26,,,525.1,659.0,624.7,840.1,,1039.2,1484.0,902.0
06-02,,,,,,37.28,120.0,,210.91,150.78,198.62,371.83,,,386.8,536.3,660.8,615.0,,,1066.0,1552.0,862.4
06-03,,,,,,37.28,,,206.66,141.54,199.4,371.47,,311.15,387.79,539.4,654.4,,,1321.0,1066.8,1544.2,817.0
